region,comuna,latitud,longitud,trazabilidad__region,trazabilidad__comuna,LER,tratamiento_n1_name,cantidad_toneladas
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Cerrillos,20 01 01 | Papel y cartón,Valorización,1.21
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,San Bernardo,15 01 02 | Envases de plástico,Valorización,4.66
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Cerrillos,20 01 39 | Plásticos,Valorización,1.344
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Talagante,20 03 99 | Residuos municipales no especificados en otra categoría,Eliminación,80.89
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,San Bernardo,01 01 02 | Residuos de la extracción de minerales no metálicos,Eliminación,348.93
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,San Bernardo,10 02 01 | Residuos del tratamiento de escorias,Eliminación,282.71
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,San Bernardo,19 08 99 | Residuos no especificados en otra categoría,Eliminación,20.07
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,San Bernardo,20 03 99 | Residuos municipales no especificados en otra categoría,Eliminación,1.83
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,San Bernardo,01 01 02 | Residuos de la extracción de minerales no metálicos,Eliminación,6462.61
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,San Bernardo,10 02 01 | Residuos del tratamiento de escorias,Eliminación,454.7
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Pudahuel,01 04 99 | Residuos no especificados en otra categoría,Eliminación,8.65
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Pudahuel,19 08 99 | Residuos no especificados en otra categoría,Eliminación,938.31
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Talagante,20 03 99 | Residuos municipales no especificados en otra categoría,Eliminación,75.19
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,San Bernardo,"17 09 04 | Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03",Eliminación,145.43
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Pudahuel,20 01 38 | Madera distinta de la especificada en el código 20 01 37,Valorización,8.03
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Libertador Gral. Bernardo O'Higgins,Mostazal,02 03 05 | Lodos del tratamiento in situ de efluentes,Valorización,18.32
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Estación Central,20 01 40 | Metales,Valorización,22.87
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Cerrillos,20 01 01 | Papel y cartón,Valorización,1.15
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,San Bernardo,15 01 02 | Envases de plástico,Valorización,8.46
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Cerrillos,20 03 99 | Residuos municipales no especificados en otra categoría,Valorización,1.95
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,San Bernardo,01 01 02 | Residuos de la extracción de minerales no metálicos,Eliminación,417.91
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,San Bernardo,10 02 01 | Residuos del tratamiento de escorias,Eliminación,77.35
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,San Bernardo,20 01 38 | Madera distinta de la especificada en el código 20 01 37,Eliminación,2.73
Metropolitana de Santiago,Curacaví,-33.403830391339,-71.159377850299,Metropolitana de Santiago,Tiltil,"17 09 04 | Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03",Eliminación,4.04
Metropolitana de Santiago,Curacaví,-33.403830391339,-71.159377850299,Metropolitana de Santiago,Antofagasta,"17 09 04 | Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03",Eliminación,0.33
Metropolitana de Santiago,Curacaví,-33.403830391339,-71.159377850299,Metropolitana de Santiago,Quilicura,20 03 01 | Mezclas de residuos municipales,Eliminación,5.86
Metropolitana de Santiago,Lampa,-33.280482337308,-70.747502007654,Metropolitana de Santiago,Huechuraba,20 01 01 | Papel y cartón,Valorización,0.88
Metropolitana de Santiago,Lampa,-33.280482337308,-70.747502007654,Ñuble,Chillan Viejo,20 01 39 | Plásticos,Eliminación,0.33
